HGNC_Symbol,dataset,LFC,p
LSM6,PietersenMaleParvalbumin,-0.46,0.65116
LSM6,PietersenMalePyramidal,-0.43,0.66332
RFNG,hiPSC_Neuron,-0.12,0.10886
RFNG,BloodmRNA,0.13,0.56
RFNG,DISC1_RNA,-0.2,0.35318
RFNG,gandalMicro,-0.01,0.70442
RFNG,gandalRNAseq,0.03,0.11379
RFNG,hiPSC_NPC1,-0.06,0.47007
RFNG,MtSinaiACC,-0.18,0.07717
RFNG,MtSinaiDLPFC,0.17,0.26058
RFNG,MtSinaiMTA,0.25,0.0615
RFNG,MtSinaiTPA,0.25,0.05932
RFNG,Stanley,0.05,0.18649
RFNG,CommonMind_DLPFC,0.02,0.1845
RFNG,Deep_Neurons,0.07,0.49582
RFNG,Superficial_Neurons,0.06,0.53852
RFNG,Superficial_Deep_Neurons,0.13,0.38151
RFNG,Lewis_2017_L3,0,0.94054
RFNG,Lewis_2017_L5,0.06,0.34951
RFNG,Lewis_2015_L3,0.03,0.67305
RFNG,Lewis_2015_L5,0.06,0.43192
RFNG,barnesAll,-0.02,0.81556
RFNG,barnesFemale,-0.08,0.62937
RFNG,barnesMale,0.03,0.84995
RFNG,Iwamoto_BA10_SCZ,-0.08,0.4956
RFNG,Iwamoto_BA46_SCZ,-0.05,0.58878
RFNG,MaycoxAll,-0.07,0.39915
RFNG,MaycoxFemale,0.06,0.61934
RFNG,MaycoxMale,-0.14,0.25569
RFNG,PietersenAllParvalbumin,0.3,0.66645
RFNG,PietersenAllPyramidal,0.97,0.1755
RFNG,PietersenFemaleParvalbumin,0.64,0.52647
RFNG,PietersenFemalePyramidal,0.58,0.46424
RFNG,PietersenMaleParvalbumin,-0.03,0.97629
RFNG,PietersenMalePyramidal,1.46,0.19902
PYGL,hiPSC_Neuron,-0.35,0.11048
PYGL,BloodmRNA,-1.37,0.0293
PYGL,DISC1_RNA,-0.26,0.51605
PYGL,gandalMicro,0.05,0.15879
PYGL,gandalRNAseq,0.19,0.00127
PYGL,hiPSC_NPC1,-0.17,0.45228
PYGL,MtSinaiACC,-0.29,0.29023
PYGL,MtSinaiDLPFC,-0.22,0.36919
PYGL,MtSinaiMTA,-0.07,0.7693
PYGL,MtSinaiTPA,0.05,0.85229
PYGL,Stanley,0.04,0.1783
PYGL,CommonMind_DLPFC,0,0.9118
PYGL,Deep_Neurons,-0.01,0.93856
PYGL,Superficial_Neurons,0,0.96088
PYGL,Superficial_Deep_Neurons,0,0.98599
PYGL,Lewis_2017_L3,-0.13,0.47598
PYGL,Lewis_2017_L5,-0.04,0.82329
PYGL,Lewis_2015_L3,0.01,0.90428
PYGL,Lewis_2015_L5,-0.02,0.78912
PYGL,barnesAll,0.53,0.00176
PYGL,barnesFemale,0.43,0.06879
PYGL,barnesMale,0.63,0.0127
PYGL,Iwamoto_BA10_SCZ,0.48,0.11209
PYGL,Iwamoto_BA46_SCZ,0.12,0.2309
PYGL,MaycoxAll,0.32,0.00354
PYGL,MaycoxFemale,0.47,0.00529
PYGL,MaycoxMale,0.3,0.05924
PYGL,PietersenAllParvalbumin,-0.35,0.65963
PYGL,PietersenAllPyramidal,0.01,0.98075
PYGL,PietersenFemaleParvalbumin,-0.34,0.71424
PYGL,PietersenFemalePyramidal,0.01,0.99446
PYGL,PietersenMaleParvalbumin,-0.37,0.75823
PYGL,PietersenMalePyramidal,0.03,0.97939
FGFR2,hiPSC_Neuron,0.61,0.11116
FGFR2,BloodmRNA,1.18,0
FGFR2,DISC1_RNA,-0.82,0.00195
FGFR2,gandalMicro,0.1,0.0269
FGFR2,gandalRNAseq,-0.07,0.02266
FGFR2,hiPSC_NPC1,0.37,0.3372
FGFR2,MtSinaiACC,-0.41,0.06369
FGFR2,MtSinaiDLPFC,-0.2,0.29987
FGFR2,MtSinaiMTA,-0.16,0.41948
FGFR2,MtSinaiTPA,-0.31,0.07247
FGFR2,Stanley,0,0.89755
FGFR2,CommonMind_DLPFC,-0.04,0.01264
FGFR2,Deep_Neurons,-0.06,0.49485
FGFR2,Superficial_Neurons,-0.08,0.42474
FGFR2,Superficial_Deep_Neurons,-0.14,0.31664
FGFR2,Lewis_2017_L3,0.21,0.38338
FGFR2,Lewis_2017_L5,0.13,0.62336
FGFR2,Lewis_2015_L3,0.21,0.24673
FGFR2,Lewis_2015_L5,-0.14,0.4263
FGFR2,barnesAll,-0.04,0.36573
FGFR2,barnesFemale,0.08,0.48871
FGFR2,barnesMale,-0.15,0.18873
FGFR2,Iwamoto_BA10_SCZ,-0.17,0.15648
FGFR2,Iwamoto_BA46_SCZ,-0.03,0.41105
FGFR2,MaycoxAll,0.03,0.37875
FGFR2,MaycoxFemale,0.2,0.36092
FGFR2,MaycoxMale,-0.05,0.42696
FGFR2,PietersenAllParvalbumin,0.53,0.26357
FGFR2,PietersenAllPyramidal,-0.17,0.3844
FGFR2,PietersenFemaleParvalbumin,1.06,0.19248
FGFR2,PietersenFemalePyramidal,0.09,0.49393
FGFR2,PietersenMaleParvalbumin,0,0.3608
FGFR2,PietersenMalePyramidal,-0.5,0.36378
MMP2,hiPSC_Neuron,0.57,0.11131
MMP2,BloodmRNA,-0.27,0.206
MMP2,DISC1_RNA,-1.69,4.7e-4
MMP2,gandalMicro,-0.04,0.03578
MMP2,gandalRNAseq,NA,NA
MMP2,hiPSC_NPC1,0.46,0.16907
MMP2,MtSinaiACC,0.17,0.43649
MMP2,MtSinaiDLPFC,-0.16,0.44218
MMP2,MtSinaiMTA,-0.25,0.21346
MMP2,MtSinaiTPA,0.2,0.40312
MMP2,Stanley,0.02,0.23525
MMP2,CommonMind_DLPFC,0.02,0.6869
MMP2,Deep_Neurons,-0.05,0.56622
MMP2,Superficial_Neurons,-0.05,0.56889
MMP2,Superficial_Deep_Neurons,-0.1,0.43959
MMP2,Lewis_2017_L3,0.11,0.14457
MMP2,Lewis_2017_L5,0.15,0.06247
MMP2,Lewis_2015_L3,-0.01,0.85272
MMP2,Lewis_2015_L5,0.01,0.92995
MMP2,barnesAll,-1.45,0.31778
MMP2,barnesFemale,0.18,0.65379
MMP2,barnesMale,-1.94,0.24493
MMP2,Iwamoto_BA10_SCZ,0.28,0.46837
MMP2,Iwamoto_BA46_SCZ,-0.23,0.21337
MMP2,MaycoxAll,0.01,0.81707
MMP2,MaycoxFemale,0.07,0.37005
MMP2,MaycoxMale,0.04,0.69909
MMP2,PietersenAllParvalbumin,-0.19,0.46934
MMP2,PietersenAllPyramidal,-0.11,0.47414
MMP2,PietersenFemaleParvalbumin,0.31,0.37643
MMP2,PietersenFemalePyramidal,0.61,0.16704
MMP2,PietersenMaleParvalbumin,-0.69,0.39962
MMP2,PietersenMalePyramidal,-1.01,0.30917
LRPAP1,hiPSC_Neuron,-0.12,0.11135
LRPAP1,BloodmRNA,0.01,0.944
LRPAP1,DISC1_RNA,-0.06,0.79704
LRPAP1,gandalMicro,-0.05,0.01974
LRPAP1,gandalRNAseq,-0.02,0.25755
LRPAP1,hiPSC_NPC1,0.04,0.57108
LRPAP1,MtSinaiACC,0.16,0.32586
LRPAP1,MtSinaiDLPFC,0.09,0.64135
LRPAP1,MtSinaiMTA,0.01,0.91612
LRPAP1,MtSinaiTPA,0.06,0.64973
LRPAP1,Stanley,-0.04,0.43565
LRPAP1,CommonMind_DLPFC,0.02,0.2054
LRPAP1,Deep_Neurons,0.02,0.81921
LRPAP1,Superficial_Neurons,0.01,0.93353
LRPAP1,Superficial_Deep_Neurons,0.03,0.83398
LRPAP1,Lewis_2017_L3,-0.32,0.04373
LRPAP1,Lewis_2017_L5,-0.34,0.03895
LRPAP1,Lewis_2015_L3,-0.14,0.03887
LRPAP1,Lewis_2015_L5,-0.19,0.0064
LRPAP1,barnesAll,0,0.74157
LRPAP1,barnesFemale,-0.18,0.58709
LRPAP1,barnesMale,0.14,0.62401
LRPAP1,Iwamoto_BA10_SCZ,-0.02,0.86679
LRPAP1,Iwamoto_BA46_SCZ,-0.1,0.39874
LRPAP1,MaycoxAll,-0.07,0.48472
LRPAP1,MaycoxFemale,-0.12,0.38547
LRPAP1,MaycoxMale,-0.06,0.59922
LRPAP1,PietersenAllParvalbumin,0.07,0.61493
LRPAP1,PietersenAllPyramidal,0.23,0.58262
LRPAP1,PietersenFemaleParvalbumin,0.37,0.38144
LRPAP1,PietersenFemalePyramidal,0.39,0.60646
LRPAP1,PietersenMaleParvalbumin,-0.23,0.77616
LRPAP1,PietersenMalePyramidal,0.03,0.50873
WASF3,hiPSC_Neuron,-0.2,0.11138
WASF3,BloodmRNA,NA,NA
WASF3,DISC1_RNA,0.52,0.01987
WASF3,gandalMicro,0.02,0.19773
WASF3,gandalRNAseq,-0.03,0.05336
WASF3,hiPSC_NPC1,-0.14,0.27736
WASF3,MtSinaiACC,0.2,0.04462
WASF3,MtSinaiDLPFC,0.07,0.57171
WASF3,MtSinaiMTA,0.12,0.22263
WASF3,MtSinaiTPA,0.23,0.03507
WASF3,Stanley,-0.01,0.84109
WASF3,CommonMind_DLPFC,0,0.8267
WASF3,Deep_Neurons,0.07,0.50529
WASF3,Superficial_Neurons,0.06,0.56422
WASF3,Superficial_Deep_Neurons,0.13,0.4015
WASF3,Lewis_2017_L3,0.22,0.09328
WASF3,Lewis_2017_L5,0.11,0.43385
WASF3,Lewis_2015_L3,0.05,0.65987
WASF3,Lewis_2015_L5,0.04,0.72579
WASF3,barnesAll,0.06,0.43241
WASF3,barnesFemale,0.08,0.50012
WASF3,barnesMale,0.05,0.57679
WASF3,Iwamoto_BA10_SCZ,-0.12,0.44703
WASF3,Iwamoto_BA46_SCZ,0.01,0.87984
WASF3,MaycoxAll,0.01,0.89132
WASF3,MaycoxFemale,-0.01,0.91761
WASF3,MaycoxMale,0.07,0.44117
WASF3,PietersenAllParvalbumin,-0.58,0.48041
WASF3,PietersenAllPyramidal,0.87,0.2467
WASF3,PietersenFemaleParvalbumin,-0.53,0.67746
WASF3,PietersenFemalePyramidal,1.24,0.26928
WASF3,PietersenMaleParvalbumin,-0.62,0.51747
WASF3,PietersenMalePyramidal,0.41,0.6869
CRK,hiPSC_Neuron,-0.1,0.11145
CRK,BloodmRNA,-0.58,0.0948
CRK,DISC1_RNA,-0.17,0.58226
CRK,gandalMicro,-0.03,0.02209
CRK,gandalRNAseq,-0.03,0.22704
CRK,hiPSC_NPC1,-0.03,0.63452
CRK,MtSinaiACC,0.1,0.25632
CRK,MtSinaiDLPFC,-0.08,0.33782
CRK,MtSinaiMTA,-0.18,0.13344
CRK,MtSinaiTPA,-0.02,0.84171
CRK,Stanley,-0.03,0.38113
CRK,CommonMind_DLPFC,0,0.9035
CRK,Deep_Neurons,0.08,0.44193
CRK,Superficial_Neurons,0.07,0.51327
CRK,Superficial_Deep_Neurons,0.15,0.33719
CRK,Lewis_2017_L3,0.1,0.72265
CRK,Lewis_2017_L5,-0.16,0.60932
CRK,Lewis_2015_L3,-0.22,0.13426
CRK,Lewis_2015_L5,-0.61,6e-5
CRK,barnesAll,0.1,0.29127
CRK,barnesFemale,0.13,0.5661
CRK,barnesMale,0.06,0.49153
CRK,Iwamoto_BA10_SCZ,-0.02,0.4455
CRK,Iwamoto_BA46_SCZ,-0.14,0.10113
CRK,MaycoxAll,0.06,0.55601
CRK,MaycoxFemale,0.1,0.62889
CRK,MaycoxMale,0.05,0.62219
CRK,PietersenAllParvalbumin,-0.38,0.45339
CRK,PietersenAllPyramidal,-0.82,0.19104
CRK,PietersenFemaleParvalbumin,-0.29,0.75002
CRK,PietersenFemalePyramidal,-0.51,0.25192
CRK,PietersenMaleParvalbumin,-0.47,0.49114
CRK,PietersenMalePyramidal,-1.21,0.23891
MSH6,hiPSC_Neuron,0.12,0.11161
MSH6,BloodmRNA,0.15,0.172
MSH6,DISC1_RNA,-0.18,0.4253
MSH6,gandalMicro,0.04,0.09331
MSH6,gandalRNAseq,0.06,0.00373
MSH6,hiPSC_NPC1,0.08,0.26018
MSH6,MtSinaiACC,-0.25,0.07419
MSH6,MtSinaiDLPFC,0.3,0.50178
MSH6,MtSinaiMTA,-0.13,0.19099
MSH6,MtSinaiTPA,-0.14,0.0206
MSH6,Stanley,0.02,0.40087
MSH6,CommonMind_DLPFC,0,0.8298
MSH6,Deep_Neurons,0.08,0.44085
MSH6,Superficial_Neurons,0.08,0.43808
MSH6,Superficial_Deep_Neurons,0.16,0.2965
MSH6,Lewis_2017_L3,-0.17,0.44088
MSH6,Lewis_2017_L5,-0.45,0.05356
MSH6,Lewis_2015_L3,-0.22,0.07539
MSH6,Lewis_2015_L5,-0.22,0.06999
MSH6,barnesAll,-0.03,0.40185
MSH6,barnesFemale,0.3,0.42555
MSH6,barnesMale,-0.32,0.31581
MSH6,Iwamoto_BA10_SCZ,0.03,0.41685
MSH6,Iwamoto_BA46_SCZ,0.27,0.13197
MSH6,MaycoxAll,0.09,0.45674
MSH6,MaycoxFemale,0.06,0.43008
MSH6,MaycoxMale,0.13,0.5025
MSH6,PietersenAllParvalbumin,-0.37,0.55791
MSH6,PietersenAllPyramidal,-0.8,0.16802
MSH6,PietersenFemaleParvalbumin,-0.48,0.44338
MSH6,PietersenFemalePyramidal,-0.45,0.35077
MSH6,PietersenMaleParvalbumin,-0.26,0.76212
MSH6,PietersenMalePyramidal,-1.24,0.21172
KLHL21,hiPSC_Neuron,-0.23,0.11655
KLHL21,BloodmRNA,-0.2,0.236
KLHL21,DISC1_RNA,0.68,0.18491
KLHL21,gandalMicro,0.06,7.9e-4
KLHL21,gandalRNAseq,0.05,0.00533
KLHL21,hiPSC_NPC1,0.11,0.45741
KLHL21,MtSinaiACC,-0.17,0.28261
KLHL21,MtSinaiDLPFC,-0.11,0.5118
KLHL21,MtSinaiMTA,0.03,0.8356
KLHL21,MtSinaiTPA,-0.03,0.84404
KLHL21,Stanley,-0.03,0.61742
KLHL21,CommonMind_DLPFC,-0.02,0.3255
KLHL21,Deep_Neurons,0.04,0.57069
KLHL21,Superficial_Neurons,0.06,0.46772
KLHL21,Superficial_Deep_Neurons,0.1,0.38115
KLHL21,Lewis_2017_L3,-0.08,0.63913
KLHL21,Lewis_2017_L5,0.04,0.81809
KLHL21,Lewis_2015_L3,0.06,0.60156
KLHL21,Lewis_2015_L5,0.09,0.39731
KLHL21,barnesAll,0.05,0.7503
KLHL21,barnesFemale,0.08,0.69623
KLHL21,barnesMale,0.02,0.92216
KLHL21,Iwamoto_BA10_SCZ,0.09,0.4762
KLHL21,Iwamoto_BA46_SCZ,0.15,0.04344
KLHL21,MaycoxAll,0.32,0.01299
KLHL21,MaycoxFemale,0.44,0.01526
KLHL21,MaycoxMale,0.36,0.05513
KLHL21,PietersenAllParvalbumin,-0.51,0.42716
KLHL21,PietersenAllPyramidal,0.18,0.7485
KLHL21,PietersenFemaleParvalbumin,-0.26,0.78725
KLHL21,PietersenFemalePyramidal,0.29,0.69202
KLHL21,PietersenMaleParvalbumin,-0.77,0.44544
KLHL21,PietersenMalePyramidal,0.03,0.97521
GLRX,hiPSC_Neuron,-0.24,0.11693
GLRX,BloodmRNA,-0.03,0.833
GLRX,DISC1_RNA,-1.53,0.0414
GLRX,gandalMicro,0,0.90254
GLRX,gandalRNAseq,0.03,0.43645
GLRX,hiPSC_NPC1,0.13,0.41166
GLRX,MtSinaiACC,-0.12,0.58426
GLRX,MtSinaiDLPFC,-0.25,0.2018
GLRX,MtSinaiMTA,-0.21,0.27458
GLRX,MtSinaiTPA,-0.37,0.12104
GLRX,Stanley,-0.06,0.20105
GLRX,CommonMind_DLPFC,-0.07,0.01001
GLRX,Deep_Neurons,0.07,0.52089
GLRX,Superficial_Neurons,0.07,0.48096
GLRX,Superficial_Deep_Neurons,0.14,0.3625
GLRX,Lewis_2017_L3,-0.15,0.24311
GLRX,Lewis_2017_L5,-0.24,0.08332
GLRX,Lewis_2015_L3,0.02,0.70286
GLRX,Lewis_2015_L5,0.06,0.39124
GLRX,barnesAll,0.19,0.33435
GLRX,barnesFemale,-0.07,0.72692
GLRX,barnesMale,0.38,0.21862
GLRX,Iwamoto_BA10_SCZ,0.45,0.02942
GLRX,Iwamoto_BA46_SCZ,0.11,0.54016
GLRX,MaycoxAll,0.21,0.20114
GLRX,MaycoxFemale,-0.01,0.89266
GLRX,MaycoxMale,0.36,0.13114
GLRX,PietersenAllParvalbumin,-0.51,0.49967
GLRX,PietersenAllPyramidal,-0.04,0.81297
GLRX,PietersenFemaleParvalbumin,-0.29,0.80024
GLRX,PietersenFemalePyramidal,-0.17,0.89207
GLRX,PietersenMaleParvalbumin,-0.72,0.45184
GLRX,PietersenMalePyramidal,0.13,0.81369
EBP,hiPSC_Neuron,0.17,0.11848
EBP,BloodmRNA,-0.14,0.366
EBP,DISC1_RNA,0.35,0.18089
EBP,gandalMicro,-0.08,1.4e-4
EBP,gandalRNAseq,-0.1,0.03633
EBP,hiPSC_NPC1,-0.1,0.32589
EBP,MtSinaiACC,0.32,0.06919
EBP,MtSinaiDLPFC,0.32,0.28337
EBP,MtSinaiMTA,0.15,0.25049
EBP,MtSinaiTPA,-0.07,0.53759
EBP,Stanley,-0.05,0.10299
EBP,CommonMind_DLPFC,-0.03,0.1999
EBP,Deep_Neurons,NA,NA
EBP,Superficial_Neurons,NA,NA
EBP,Superficial_Deep_Neurons,NA,NA
EBP,Lewis_2017_L3,-0.17,0.24248
EBP,Lewis_2017_L5,0,0.98104
EBP,Lewis_2015_L3,-0.14,0.10873
EBP,Lewis_2015_L5,-0.19,0.0277
EBP,barnesAll,-0.53,0.09999
EBP,barnesFemale,-0.95,0.0885
EBP,barnesMale,-0.23,0.42015
EBP,Iwamoto_BA10_SCZ,-0.24,0.03544
EBP,Iwamoto_BA46_SCZ,-0.04,0.44725
EBP,MaycoxAll,-0.05,0.50981
EBP,MaycoxFemale,-0.04,0.76897
EBP,MaycoxMale,-0.13,0.32318
EBP,PietersenAllParvalbumin,-0.19,0.67279
EBP,PietersenAllPyramidal,0.32,0.29977
EBP,PietersenFemaleParvalbumin,-1.04,0.32364
EBP,PietersenFemalePyramidal,0.28,0.4447
EBP,PietersenMaleParvalbumin,0.65,0.5023
EBP,PietersenMalePyramidal,0.36,0.4932
SYNE2,hiPSC_Neuron,0.34,0.12014
SYNE2,BloodmRNA,-0.01,0.978
SYNE2,DISC1_RNA,-0.2,0.47078
SYNE2,gandalMicro,-0.06,0.01884
SYNE2,gandalRNAseq,0,0.99826
SYNE2,hiPSC_NPC1,0.2,0.37303
SYNE2,MtSinaiACC,0.08,0.53055
SYNE2,MtSinaiDLPFC,0.87,0.31997
SYNE2,MtSinaiMTA,0.26,0.02934
SYNE2,MtSinaiTPA,0.04,0.78948
SYNE2,Stanley,0,0.92554
SYNE2,CommonMind_DLPFC,0,0.9326
SYNE2,Deep_Neurons,0.02,0.66537
SYNE2,Superficial_Neurons,0.01,0.78977
SYNE2,Superficial_Deep_Neurons,0.04,0.63742
SYNE2,Lewis_2017_L3,-0.09,0.76555
SYNE2,Lewis_2017_L5,-0.33,0.29535
SYNE2,Lewis_2015_L3,-0.03,0.91359
SYNE2,Lewis_2015_L5,-0.11,0.64378
SYNE2,barnesAll,0.06,0.52259
SYNE2,barnesFemale,0.2,0.34922
SYNE2,barnesMale,-0.07,0.28391
SYNE2,Iwamoto_BA10_SCZ,-0.62,0.06458
SYNE2,Iwamoto_BA46_SCZ,-0.06,0.37103
SYNE2,MaycoxAll,0,0.69696
SYNE2,MaycoxFemale,-0.02,0.40598
SYNE2,MaycoxMale,-0.03,0.42502
SYNE2,PietersenAllParvalbumin,0.09,0.89766
SYNE2,PietersenAllPyramidal,-0.45,0.48613
SYNE2,PietersenFemaleParvalbumin,0.17,0.70948
SYNE2,PietersenFemalePyramidal,-0.32,0.59511
SYNE2,PietersenMaleParvalbumin,0,0.72121
SYNE2,PietersenMalePyramidal,-0.6,0.2807
SLC35F2,hiPSC_Neuron,-0.64,0.12049
SLC35F2,BloodmRNA,NA,NA
SLC35F2,DISC1_RNA,NA,NA
SLC35F2,gandalMicro,0.08,1.4e-4
SLC35F2,gandalRNAseq,0.13,2e-4
SLC35F2,hiPSC_NPC1,-0.8,0.05776
SLC35F2,MtSinaiACC,0.04,0.78298
SLC35F2,MtSinaiDLPFC,0.59,0.19776
SLC35F2,MtSinaiMTA,-0.1,0.52343
SLC35F2,MtSinaiTPA,-0.14,0.37611
SLC35F2,Stanley,0.08,0.11071
SLC35F2,CommonMind_DLPFC,0.11,1.1e-4
SLC35F2,Deep_Neurons,-0.09,0.27089
SLC35F2,Superficial_Neurons,-0.09,0.26726
SLC35F2,Superficial_Deep_Neurons,-0.18,0.13675
SLC35F2,Lewis_2017_L3,0.18,0.52437
SLC35F2,Lewis_2017_L5,0.3,0.31808
SLC35F2,Lewis_2015_L3,0.05,0.77379
SLC35F2,Lewis_2015_L5,0.09,0.58205
SLC35F2,barnesAll,0.08,0.43731
SLC35F2,barnesFemale,0.08,0.65318
SLC35F2,barnesMale,0.09,0.56822
SLC35F2,Iwamoto_BA10_SCZ,NA,NA
SLC35F2,Iwamoto_BA46_SCZ,0.01,0.8814
SLC35F2,MaycoxAll,0,0.97305
SLC35F2,MaycoxFemale,-0.06,0.59181
SLC35F2,MaycoxMale,0.01,0.92241
SLC35F2,PietersenAllParvalbumin,0.56,0.48062
SLC35F2,PietersenAllPyramidal,-1.13,0.15785
SLC35F2,PietersenFemaleParvalbumin,-0.41,0.71839
SLC35F2,PietersenFemalePyramidal,-0.24,0.81797
SLC35F2,PietersenMaleParvalbumin,1.52,0.153
SLC35F2,PietersenMalePyramidal,-2.25,0.04457
CDKN1A,hiPSC_Neuron,0.53,0.12105
CDKN1A,BloodmRNA,-0.66,0.0386
CDKN1A,DISC1_RNA,-1.13,4e-5
CDKN1A,gandalMicro,0.03,0.53025
CDKN1A,gandalRNAseq,0.38,1e-4
CDKN1A,hiPSC_NPC1,-0.04,0.90292
CDKN1A,MtSinaiACC,-0.22,0.46986
CDKN1A,MtSinaiDLPFC,-0.06,0.88564
CDKN1A,MtSinaiMTA,-0.32,0.51548
CDKN1A,MtSinaiTPA,-0.44,0.36054
CDKN1A,Stanley,0.17,0.08039
CDKN1A,CommonMind_DLPFC,0.01,0.8287
CDKN1A,Deep_Neurons,0.01,0.95415
CDKN1A,Superficial_Neurons,0,0.98405
CDKN1A,Superficial_Deep_Neurons,0,0.98043
CDKN1A,Lewis_2017_L3,0.13,0.67481
CDKN1A,Lewis_2017_L5,0.47,0.15166
CDKN1A,Lewis_2015_L3,-0.15,0.30393
CDKN1A,Lewis_2015_L5,0.06,0.66232
CDKN1A,barnesAll,0.26,0.44635
CDKN1A,barnesFemale,0.11,0.80155
CDKN1A,barnesMale,0.37,0.47888
CDKN1A,Iwamoto_BA10_SCZ,0.45,0.14587
CDKN1A,Iwamoto_BA46_SCZ,0.1,0.792
CDKN1A,MaycoxAll,0.22,0.41226
CDKN1A,MaycoxFemale,0.15,0.62631
CDKN1A,MaycoxMale,0.39,0.34824
CDKN1A,PietersenAllParvalbumin,0.08,0.89313
CDKN1A,PietersenAllPyramidal,0.84,0.17729
CDKN1A,PietersenFemaleParvalbumin,0.4,0.73016
CDKN1A,PietersenFemalePyramidal,0.89,0.25747
CDKN1A,PietersenMaleParvalbumin,-0.23,0.77279
CDKN1A,PietersenMalePyramidal,0.77,0.45788
EPHA3,hiPSC_Neuron,0.75,0.12144
EPHA3,BloodmRNA,NA,NA
EPHA3,DISC1_RNA,-0.57,0.0183
EPHA3,gandalMicro,-0.08,0.01251
EPHA3,gandalRNAseq,-0.05,0.10226
EPHA3,hiPSC_NPC1,0.2,0.68601
EPHA3,MtSinaiACC,0.1,0.74707
EPHA3,MtSinaiDLPFC,-0.19,0.42283
EPHA3,MtSinaiMTA,0,0.99971
EPHA3,MtSinaiTPA,0,0.98858
EPHA3,Stanley,-0.02,0.40044
EPHA3,CommonMind_DLPFC,0.06,0.00203
EPHA3,Deep_Neurons,-0.02,0.73512
EPHA3,Superficial_Neurons,-0.03,0.65001
EPHA3,Superficial_Deep_Neurons,-0.06,0.59109
EPHA3,Lewis_2017_L3,-0.04,0.88359
EPHA3,Lewis_2017_L5,0,0.99025
EPHA3,Lewis_2015_L3,-0.01,0.92609
EPHA3,Lewis_2015_L5,-0.33,0.03871
EPHA3,barnesAll,0.08,0.65159
EPHA3,barnesFemale,0.2,0.3665
EPHA3,barnesMale,0.03,0.72347
EPHA3,Iwamoto_BA10_SCZ,0.32,0.47145
EPHA3,Iwamoto_BA46_SCZ,-0.01,0.74083
EPHA3,MaycoxAll,0.17,0.4153
EPHA3,MaycoxFemale,0.53,0.29306
EPHA3,MaycoxMale,-0.15,0.46944
EPHA3,PietersenAllParvalbumin,-0.24,0.2927
EPHA3,PietersenAllPyramidal,-0.4,0.41521
EPHA3,PietersenFemaleParvalbumin,-0.01,0.418
EPHA3,PietersenFemalePyramidal,-0.04,0.76264
EPHA3,PietersenMaleParvalbumin,-0.47,0.34741
EPHA3,PietersenMalePyramidal,-0.85,0.30133
ABL1,hiPSC_Neuron,-0.1,0.12254
ABL1,BloodmRNA,0.31,0.258
ABL1,DISC1_RNA,0.04,0.86709
ABL1,gandalMicro,0,0.96082
ABL1,gandalRNAseq,0,0.95006
ABL1,hiPSC_NPC1,0.02,0.78057
ABL1,MtSinaiACC,-0.28,0.18836
ABL1,MtSinaiDLPFC,0,0.99082
ABL1,MtSinaiMTA,0.03,0.82447
ABL1,MtSinaiTPA,-0.13,0.40525
ABL1,Stanley,0,0.98672
ABL1,CommonMind_DLPFC,-0.01,0.5531
ABL1,Deep_Neurons,-0.01,0.89986
ABL1,Superficial_Neurons,-0.01,0.86241
ABL1,Superficial_Deep_Neurons,-0.02,0.83908
ABL1,Lewis_2017_L3,-0.1,0.67716
ABL1,Lewis_2017_L5,-0.48,0.06329
ABL1,Lewis_2015_L3,0.15,0.13977
ABL1,Lewis_2015_L5,0.01,0.94464
ABL1,barnesAll,-0.06,0.57978
ABL1,barnesFemale,-0.01,0.938
ABL1,barnesMale,-0.1,0.57488
ABL1,Iwamoto_BA10_SCZ,-0.09,0.32831
ABL1,Iwamoto_BA46_SCZ,0,0.97194
ABL1,MaycoxAll,0.09,0.2798
ABL1,MaycoxFemale,0.18,0.2934
ABL1,MaycoxMale,0.06,0.55601
ABL1,PietersenAllParvalbumin,0.76,0.32881
ABL1,PietersenAllPyramidal,0.14,0.79922
ABL1,PietersenFemaleParvalbumin,1.66,0.15129
ABL1,PietersenFemalePyramidal,0.56,0.46282
ABL1,PietersenMaleParvalbumin,-0.14,0.89087
ABL1,PietersenMalePyramidal,-0.37,0.7068
TP53BP1,hiPSC_Neuron,-0.13,0.12312
TP53BP1,BloodmRNA,NA,NA
TP53BP1,DISC1_RNA,-0.32,0.12177
TP53BP1,gandalMicro,-0.03,0.03315
TP53BP1,gandalRNAseq,-0.03,0.03696
TP53BP1,hiPSC_NPC1,0,0.95294
TP53BP1,MtSinaiACC,0.15,0.2624
TP53BP1,MtSinaiDLPFC,-0.15,0.24076
TP53BP1,MtSinaiMTA,-0.11,0.40285
TP53BP1,MtSinaiTPA,-0.01,0.94582
TP53BP1,Stanley,-0.03,0.35084
TP53BP1,CommonMind_DLPFC,-0.01,0.2123
TP53BP1,Deep_Neurons,-0.02,0.79455
TP53BP1,Superficial_Neurons,-0.04,0.654
TP53BP1,Superficial_Deep_Neurons,-0.06,0.63001
TP53BP1,Lewis_2017_L3,-0.24,0.12821
TP53BP1,Lewis_2017_L5,-0.05,0.74489
TP53BP1,Lewis_2015_L3,-0.07,0.45326
TP53BP1,Lewis_2015_L5,-0.07,0.45839
TP53BP1,barnesAll,-0.01,0.88033
TP53BP1,barnesFemale,-0.03,0.59624
TP53BP1,barnesMale,0.02,0.53045
